YR_M,Bronx Precinct,BRONX_precinct_Crime_Cnt
2016-01,43.0,888
2016-01,44.0,888
2016-01,45.0,484
2016-01,46.0,819
2016-01,47.0,837
2016-01,48.0,696
2016-01,49.0,510
2016-01,50.0,325
2016-01,52.0,785
2016-02,40.0,863
2016-02,41.0,524
2016-02,42.0,616
2016-02,43.0,878
2016-02,44.0,777
2016-02,45.0,436
2016-02,46.0,672
2016-02,47.0,714
2016-02,48.0,608
2016-02,49.0,452
2016-02,50.0,385
2016-02,52.0,725
2016-03,40.0,1074
2016-03,41.0,659
2016-03,42.0,670
2016-03,43.0,982
2016-03,44.0,976
2016-03,45.0,527
2016-03,46.0,771
2016-03,47.0,826
2016-03,48.0,652
2016-03,49.0,491
2016-03,50.0,371
2016-03,52.0,772
2016-04,40.0,1101
2016-04,41.0,655
2016-04,42.0,652
2016-04,43.0,970
2016-04,44.0,1025
2016-04,45.0,537
2016-04,46.0,823
2016-04,47.0,827
2016-04,48.0,680
2016-04,49.0,551
2016-04,50.0,394
2016-04,52.0,847
2016-05,40.0,1159
2016-05,41.0,695
2016-05,42.0,701
2016-05,43.0,1052
2016-05,44.0,1062
2016-05,45.0,550
2016-05,46.0,789
2016-05,47.0,967
2016-05,48.0,623
2016-05,49.0,578
2016-05,50.0,383
2016-05,52.0,940
2016-06,40.0,1110
2016-06,41.0,667
2016-06,42.0,663
2016-06,43.0,995
2016-06,44.0,993
2016-06,45.0,587
2016-06,46.0,841
2016-06,47.0,926
2016-06,48.0,616
2016-06,49.0,606
2016-06,50.0,371
2016-06,52.0,832
2016-07,40.0,1136
2016-07,41.0,614
2016-07,42.0,739
2016-07,43.0,1071
2016-07,44.0,1031
2016-07,45.0,547
2016-07,46.0,811
2016-07,47.0,875
2016-07,48.0,665
2016-07,49.0,555
2016-07,50.0,349
2016-07,52.0,788
2016-08,40.0,989
2016-08,41.0,655
2016-08,42.0,720
2016-08,43.0,1079
2016-08,44.0,1034
2016-08,45.0,574
2016-08,46.0,833
2016-08,47.0,941
2016-08,48.0,639
2016-08,49.0,589
2016-08,50.0,383
2016-08,52.0,836
2016-09,40.0,979
2016-09,41.0,638
2016-09,42.0,654
2016-09,43.0,1006
2016-09,44.0,998
2016-09,45.0,510
2016-09,46.0,786
2016-09,47.0,840
2016-09,48.0,601
2016-09,49.0,509
2016-09,50.0,385
2016-09,52.0,793
2016-10,40.0,1016
2016-10,41.0,603
2016-10,42.0,707
2016-10,43.0,1040
2016-10,44.0,1001
2016-10,45.0,526
2016-10,46.0,822
