YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2013-10,105.0,613
2013-10,106.0,618
2013-10,107.0,478
2013-10,108.0,455
2013-10,109.0,708
2013-10,110.0,680
2013-10,111.0,286
2013-10,112.0,312
2013-10,113.0,814
2013-10,114.0,789
2013-10,115.0,680
2013-11,100.0,201
2013-11,101.0,382
2013-11,102.0,554
2013-11,103.0,752
2013-11,104.0,635
2013-11,105.0,607
2013-11,106.0,642
2013-11,107.0,447
2013-11,108.0,449
2013-11,109.0,647
2013-11,110.0,562
2013-11,111.0,258
2013-11,112.0,329
2013-11,113.0,717
2013-11,114.0,771
2013-11,115.0,698
2013-12,100.0,168
2013-12,101.0,360
2013-12,102.0,583
2013-12,103.0,682
2013-12,104.0,542
2013-12,105.0,558
2013-12,106.0,500
2013-12,107.0,451
2013-12,108.0,451
2013-12,109.0,600
2013-12,110.0,558
2013-12,111.0,275
2013-12,112.0,328
2013-12,113.0,685
2013-12,114.0,726
2013-12,115.0,718
2014-01,100.0,182
2014-01,101.0,375
2014-01,102.0,601
2014-01,103.0,707
2014-01,104.0,648
2014-01,105.0,602
2014-01,106.0,503
2014-01,107.0,359
2014-01,108.0,403
2014-01,109.0,602
2014-01,110.0,575
2014-01,111.0,239
2014-01,112.0,288
2014-01,113.0,719
2014-01,114.0,764
2014-01,115.0,743
2014-02,100.0,221
2014-02,101.0,289
2014-02,102.0,475
2014-02,103.0,619
2014-02,104.0,529
2014-02,105.0,484
2014-02,106.0,482
2014-02,107.0,294
2014-02,108.0,392
2014-02,109.0,571
2014-02,110.0,462
2014-02,111.0,215
2014-02,112.0,275
2014-02,113.0,583
2014-02,114.0,633
2014-02,115.0,667
2014-03,100.0,228
2014-03,101.0,380
2014-03,102.0,549
2014-03,103.0,670
2014-03,104.0,607
2014-03,105.0,519
2014-03,106.0,452
2014-03,107.0,409
2014-03,108.0,475
2014-03,109.0,582
2014-03,110.0,605
2014-03,111.0,218
2014-03,112.0,255
2014-03,113.0,730
2014-03,114.0,829
2014-03,115.0,811
2014-04,100.0,210
2014-04,101.0,332
2014-04,102.0,512
2014-04,103.0,693
2014-04,104.0,564
2014-04,105.0,546
2014-04,106.0,482
2014-04,107.0,374
2014-04,108.0,429
2014-04,109.0,702
2014-04,110.0,549
2014-04,111.0,225
2014-04,112.0,247
2014-04,113.0,683
2014-04,114.0,788
2014-04,115.0,700
2014-05,100.0,301
2014-05,101.0,408
2014-05,102.0,557
2014-05,103.0,800
2014-05,104.0,642
2014-05,105.0,650
2014-05,106.0,553
2014-05,107.0,374
2014-05,108.0,468
2014-05,109.0,693
2014-05,110.0,670
2014-05,111.0,265
2014-05,112.0,326
2014-05,113.0,777
2014-05,114.0,885
2014-05,115.0,776
2014-06,100.0,282
2014-06,101.0,443
2014-06,102.0,530
2014-06,103.0,722
2014-06,104.0,633
2014-06,105.0,651
2014-06,106.0,518
2014-06,107.0,412
2014-06,108.0,452
2014-06,109.0,654
2014-06,110.0,630
2014-06,111.0,230
2014-06,112.0,322
