YR_M,Brooklyn Precinct,BROOKLYN_precinct_Crime_Cnt
2013-11,71.0,576
2013-11,72.0,437
2013-11,73.0,788
2013-11,75.0,1366
2013-11,76.0,185
2013-11,77.0,635
2013-11,78.0,330
2013-11,79.0,624
2013-11,81.0,557
2013-11,83.0,631
2013-11,84.0,418
2013-11,88.0,352
2013-11,90.0,486
2013-11,94.0,275
2013-12,60.0,488
2013-12,61.0,473
2013-12,62.0,480
2013-12,63.0,408
2013-12,66.0,369
2013-12,67.0,739
2013-12,68.0,385
2013-12,69.0,393
2013-12,70.0,637
2013-12,71.0,537
2013-12,72.0,463
2013-12,73.0,813
2013-12,75.0,1446
2013-12,76.0,186
2013-12,77.0,566
2013-12,78.0,292
2013-12,79.0,590
2013-12,81.0,521
2013-12,83.0,589
2013-12,84.0,379
2013-12,88.0,302
2013-12,90.0,516
2013-12,94.0,270
2014-01,60.0,454
2014-01,61.0,459
2014-01,62.0,465
2014-01,63.0,363
2014-01,66.0,375
2014-01,67.0,753
2014-01,68.0,351
2014-01,69.0,341
2014-01,70.0,622
2014-01,71.0,600
2014-01,72.0,426
2014-01,73.0,826
2014-01,75.0,1402
2014-01,76.0,186
2014-01,77.0,610
2014-01,78.0,292
2014-01,79.0,588
2014-01,81.0,553
2014-01,83.0,560
2014-01,84.0,354
2014-01,88.0,300
2014-01,90.0,521
2014-01,94.0,257
2014-02,60.0,410
2014-02,61.0,489
2014-02,62.0,363
2014-02,63.0,284
2014-02,66.0,336
2014-02,67.0,708
2014-02,68.0,315
2014-02,69.0,319
2014-02,70.0,524
2014-02,71.0,521
2014-02,72.0,402
2014-02,73.0,733
2014-02,75.0,1316
2014-02,76.0,179
2014-02,77.0,525
2014-02,78.0,267
2014-02,79.0,510
2014-02,81.0,449
2014-02,83.0,497
2014-02,84.0,300
2014-02,88.0,287
2014-02,90.0,444
2014-02,94.0,230
2014-03,60.0,445
2014-03,61.0,510
2014-03,62.0,527
2014-03,63.0,397
2014-03,66.0,365
2014-03,67.0,838
2014-03,68.0,357
2014-03,69.0,395
2014-03,70.0,609
2014-03,71.0,553
2014-03,72.0,415
2014-03,73.0,837
2014-03,75.0,1510
2014-03,76.0,205
2014-03,77.0,581
2014-03,78.0,347
2014-03,79.0,642
2014-03,81.0,525
2014-03,83.0,558
2014-03,84.0,382
2014-03,88.0,383
2014-03,90.0,579
2014-03,94.0,290
2014-04,60.0,487
2014-04,61.0,494
2014-04,62.0,485
2014-04,63.0,362
2014-04,66.0,365
2014-04,67.0,769
2014-04,68.0,388
2014-04,69.0,380
2014-04,70.0,592
2014-04,71.0,566
2014-04,72.0,404
2014-04,73.0,817
2014-04,75.0,1398
2014-04,76.0,254
2014-04,77.0,662
2014-04,78.0,343
2014-04,79.0,695
2014-04,81.0,568
2014-04,83.0,500
2014-04,84.0,430
2014-04,88.0,347
2014-04,90.0,522
2014-04,94.0,337
2014-05,60.0,564
2014-05,61.0,546
2014-05,62.0,532
2014-05,63.0,443
2014-05,66.0,397
2014-05,67.0,952
2014-05,68.0,451
2014-05,69.0,443
2014-05,70.0,686
2014-05,71.0,617
2014-05,72.0,433
2014-05,73.0,852
2014-05,75.0,1577
2014-05,76.0,267
2014-05,77.0,659
2014-05,78.0,352
2014-05,79.0,659
2014-05,81.0,581
2014-05,83.0,584
2014-05,84.0,477
2014-05,88.0,414
2014-05,90.0,602
2014-05,94.0,346
2014-06,60.0,649
2014-06,61.0,490
2014-06,62.0,472
2014-06,63.0,432
2014-06,66.0,355
2014-06,67.0,871
2014-06,68.0,396
2014-06,69.0,413
2014-06,70.0,713
2014-06,71.0,558
2014-06,72.0,432
2014-06,73.0,799
2014-06,75.0,1428
2014-06,76.0,230
2014-06,77.0,707
2014-06,78.0,355
2014-06,79.0,635
2014-06,81.0,524
2014-06,83.0,573
2014-06,84.0,436
2014-06,88.0,391
2014-06,90.0,601
2014-06,94.0,314
2014-07,60.0,668
2014-07,61.0,488
2014-07,62.0,519
2014-07,63.0,451
2014-07,66.0,398
2014-07,67.0,938
2014-07,68.0,419
2014-07,69.0,447
2014-07,70.0,764
2014-07,71.0,662
2014-07,72.0,477
2014-07,73.0,998
2014-07,75.0,1656
2014-07,76.0,267
2014-07,77.0,711
2014-07,78.0,348
2014-07,79.0,717
2014-07,81.0,622
2014-07,83.0,557
2014-07,84.0,435
2014-07,88.0,440
2014-07,90.0,608
2014-07,94.0,388
2014-08,60.0,612
2014-08,61.0,497
2014-08,62.0,526
2014-08,63.0,471
2014-08,66.0,423
2014-08,67.0,930
2014-08,68.0,412
2014-08,69.0,468
2014-08,70.0,722
2014-08,71.0,680
2014-08,72.0,474
2014-08,73.0,929
2014-08,75.0,1567
2014-08,76.0,240
2014-08,77.0,669
2014-08,78.0,330
2014-08,79.0,729
