YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2013-09,9.0,536
2013-09,10.0,378
2013-09,13.0,636
2013-09,14.0,970
2013-09,17.0,270
2013-09,18.0,652
2013-09,19.0,538
2013-09,20.0,376
2013-09,22.0,56
2013-09,23.0,491
2013-09,24.0,406
2013-09,25.0,609
2013-09,26.0,291
2013-09,28.0,404
2013-09,30.0,439
2013-09,32.0,456
2013-09,33.0,372
2013-09,34.0,464
2013-10,1.0,494
2013-10,5.0,362
2013-10,6.0,533
2013-10,7.0,301
2013-10,9.0,503
2013-10,10.0,381
2013-10,13.0,669
2013-10,14.0,942
2013-10,17.0,278
2013-10,18.0,679
2013-10,19.0,495
2013-10,20.0,369
2013-10,22.0,38
2013-10,23.0,577
2013-10,24.0,405
2013-10,25.0,600
2013-10,26.0,314
2013-10,28.0,428
2013-10,30.0,390
2013-10,32.0,530
2013-10,33.0,353
2013-10,34.0,449
2013-11,1.0,451
2013-11,5.0,352
2013-11,6.0,464
2013-11,7.0,308
2013-11,9.0,497
2013-11,10.0,375
2013-11,13.0,668
2013-11,14.0,965
2013-11,17.0,253
2013-11,18.0,605
2013-11,19.0,534
2013-11,20.0,320
2013-11,22.0,30
2013-11,23.0,479
2013-11,24.0,363
2013-11,25.0,498
2013-11,26.0,251
2013-11,28.0,414
2013-11,30.0,322
2013-11,32.0,483
2013-11,33.0,276
2013-11,34.0,422
2013-12,1.0,425
2013-12,5.0,335
2013-12,6.0,413
2013-12,7.0,278
2013-12,9.0,437
2013-12,10.0,337
2013-12,13.0,691
2013-12,14.0,1066
2013-12,17.0,261
2013-12,18.0,760
2013-12,19.0,531
2013-12,20.0,320
2013-12,22.0,16
2013-12,23.0,508
2013-12,24.0,369
2013-12,25.0,506
2013-12,26.0,236
2013-12,28.0,401
2013-12,30.0,350
2013-12,32.0,438
2013-12,33.0,291
2013-12,34.0,442
2014-01,1.0,409
2014-01,5.0,320
2014-01,6.0,385
2014-01,7.0,333
2014-01,9.0,456
2014-01,10.0,301
2014-01,13.0,593
2014-01,14.0,865
2014-01,17.0,228
2014-01,18.0,602
2014-01,19.0,489
2014-01,20.0,336
2014-01,22.0,16
2014-01,23.0,557
2014-01,24.0,332
2014-01,25.0,569
2014-01,26.0,232
2014-01,28.0,413
2014-01,30.0,345
2014-01,32.0,461
2014-01,33.0,329
2014-01,34.0,409
2014-02,1.0,405
2014-02,5.0,302
2014-02,6.0,371
2014-02,7.0,267
2014-02,9.0,370
2014-02,10.0,286
2014-02,13.0,541
2014-02,14.0,808
2014-02,17.0,234
2014-02,18.0,559
2014-02,19.0,402
2014-02,20.0,282
2014-02,22.0,3
2014-02,23.0,465
2014-02,24.0,301
2014-02,25.0,560
2014-02,26.0,213
2014-02,28.0,330
2014-02,30.0,339
2014-02,32.0,435
2014-02,33.0,264
2014-02,34.0,367
2014-03,1.0,437
2014-03,5.0,311
2014-03,6.0,392
2014-03,7.0,325
2014-03,9.0,492
2014-03,10.0,327
2014-03,13.0,560
2014-03,14.0,893
2014-03,17.0,246
2014-03,18.0,676
2014-03,19.0,433
2014-03,20.0,349
2014-03,22.0,25
2014-03,23.0,517
2014-03,24.0,375
2014-03,25.0,563
2014-03,26.0,276
2014-03,28.0,436
2014-03,30.0,423
2014-03,32.0,513
2014-03,33.0,331
2014-03,34.0,460
2014-04,1.0,471
2014-04,5.0,366
2014-04,6.0,412
2014-04,7.0,335
2014-04,9.0,394
2014-04,10.0,299
2014-04,13.0,558
2014-04,14.0,873
2014-04,17.0,217
2014-04,18.0,694
2014-04,19.0,433
2014-04,20.0,314
2014-04,22.0,39
2014-04,23.0,511
2014-04,24.0,359
2014-04,25.0,588
2014-04,26.0,250
2014-04,28.0,380
2014-04,30.0,330
2014-04,32.0,521
2014-04,33.0,296
2014-04,34.0,398
2014-05,1.0,507
2014-05,5.0,380
2014-05,6.0,484
2014-05,7.0,371
2014-05,9.0,507
2014-05,10.0,369
2014-05,13.0,606
2014-05,14.0,1021
2014-05,17.0,255
2014-05,18.0,689
2014-05,19.0,495
2014-05,20.0,348
2014-05,22.0,46
2014-05,23.0,541
2014-05,24.0,403
2014-05,25.0,831
2014-05,26.0,296
2014-05,28.0,443
2014-05,30.0,376
2014-05,32.0,633
2014-05,33.0,346
2014-05,34.0,463
2014-06,1.0,513
2014-06,5.0,411
2014-06,6.0,462
2014-06,7.0,338
